"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,219,"SUR","Suriname",1,"Brokopondo","SR.BR",NA,"","Distrikt","District","",""
2,219,"SUR","Suriname",2,"Commewijne","SR.CM",NA,"","Distrikt","District","",""
3,219,"SUR","Suriname",3,"Coronie","SR.CR",NA,"","Distrikt","District","",""
4,219,"SUR","Suriname",4,"Marowijne","SR.MA",NA,"","Distrikt","District","",""
5,219,"SUR","Suriname",5,"Nickerie","SR.NI",NA,"","Distrikt","District","",""
6,219,"SUR","Suriname",6,"Para","SR.PR",NA,"","Distrikt","District","",""
7,219,"SUR","Suriname",7,"Paramaribo","SR.PM",NA,"","Distrikt","District","",""
8,219,"SUR","Suriname",8,"Saramacca","SR.SA",NA,"","Distrikt","District","",""
9,219,"SUR","Suriname",9,"Sipaliwini","SR.SI",NA,"","Distrikt","District","",""
10,219,"SUR","Suriname",10,"Wanica","SR.WA",NA,"","Distrikt","District","",""
